  2237 7.27  .08 1.02 .10  33.43 1.02  31.01 0.87   9  9  1 2.61 n   5.65  1994.1  0.146 .66  64 134 134
  2237b7.27  .07 1.01 .08  33.41 0.99              11  9  6 1.96    11.33  1993.   0.211 .06  72  45 119
  2762 5.61 1.27  .67 .06  47.73 1.21  47.51 1.15  13  8 10 2.48 m   6.890 1994.05 0.23  .76  47 283 149
  7372 7.94  .18 2.30 .32  46.42 1.10  42.29 1.47  10  7  7 2.45 m   4.561 1991.86 0.172 .33  22 307 158
  7580 6.71 1.03  .93 .08  25.73 0.93  26.15 0.81  12 11  4 2.18 n  29.    1989.8  0.312 .78  96 250 160
 12390 5.36  .76  .85 .08  40.59 1.31  36.99 1.76  10 10  3 2.60 n   2.654 1991.12 0.107 .23  24  46  86
 19719 5.76  .91  .95 .12  27.41 0.93  27.04 0.90  10 10  2 2.25 n   7.20  1990.68 0.134 .33  65 305 144
 20087 5.87 2.03  .76 .10  18.23 0.86  18.25 0.82  14 14  2 3.03 n  11.320 1989.2  0.133 .17 125 344 352
 22550 7.50  .24 1.15 .17  20.21 1.08  20.15 1.14  16 16  0 3.04 n  16.28  1988.39 0.188 .46  17 257 147
 33451 6.89  .42  .84 .11  24.41 0.65  23.15 0.56  12  8  9 2.14 n  16.8   1992.3  0.21  .41  29 240 126
 36238 5.51 1.87  .45 .04  27.90 0.97  29.38 1.39  15 10 10 7.30 m?  2.038 1990.40 0.087 .48  97  51 172
 38052 7.72  .38  .76 .13  25.42 0.91  26.60 0.83  11 11  4 2.03 n  18.7   1990.72 0.227 .48 122 108  71
 44248 4.18 2.34  .76 .04  61.50 1.01  60.86 1.30   5  5  1 2.42 n  21.80  1993.8  0.644 .15 131  33 204
 45170 7.28  .19  .94 .18  49.66 1.09  48.83 0.92   7  7  3 1.74 n   2.705 1993.51 0.116 .43 124 170 317
 47479 5.95  .37 1.29 .24  15.23 0.60  14.85 0.69  23 12 19 4.88 m? 10.6   1995.1  0.13  .32 129  20  91
 60129 4.03 2.18  .54 .05  13.78 1.06  13.06 0.84  23 23  2 5.44 m  13.1   1990.2  0.135 .08  50   4 173
 75695 3.89 2.01  .68 .03  29.31 0.82  28.60 0.69   9  8  1 2.98 n  10.551 1990.98 0.203 .55 111 357 327
 82817 9.71  .11 1.60 .15 155.63 1.81 174.23 3.90   8  3  7 1.07 m?  1.717 1991.60 0.23  .06 161 104 147
 84140 9.93  .42  .97 .03 156.66 1.37 158.17 3.26   4  3  3  .71 n  12.96  1991.04 0.77  .75 146  97 158
 87655 6.45 1.80  .41 .04  14.13 0.89  14.72 0.81  22 19 10 3.04 m   8.9   1989.2  0.088 .32 157 233 169
 87895 6.57 2.34  .77 .12  35.20 0.87  35.02 0.65  13  7 11 2.25     2.41  1991.94 0.083 .40  68 317 177
 89937 3.78 2.40  .72 .02 124.37 0.52 124.11 0.48   3  1  3 1.70 n   0.768 1990.97 0.124 .45  75 297 230
 98416 6.23 1.50  .84 .08  40.86 1.29  40.75 1.35  11  9  6 2.06 n   9.7   1989.   0.236 .02  54 326 111
104858 5.31  .08  .94 .03  54.32 0.90  54.11 0.85   5  5  2 2.35 n   5.713 1992.85 0.231 .44  99   3 203
107354 4.97  .04 1.76 .11  27.24 0.74  28.34 0.88   8  8  2 4.90 m  11.59  1990.81 0.237 .31 108 305 290
107522 9.56  .13 1.61 .30  53.38 1.63  52.56 1.88   9  9  1 1.47 m?  6.21  1988.9  0.205 .59 129 347 103
107522b9.56  .13 1.88 .34  53.30 1.41               9  8  4 1.45    12.46  1986.0  0.324 .00 113   0 109
108431 5.00  .51  .79 .10  18.67 0.84  17.65 0.78  60 13 58 4.50 g?  6.11  1996.3  0.10  .86  32 100 178
108431b4.94  .68  .70 .09  18.92 0.84              20 13 15 4.36    12.2   1990.   0.16  .06  71 258  94
115126 5.41 3.27  .55 .11  40.28 1.51  48.22 5.25  13 11  7 2.60 m?  6.30  1993.5  0.189 .18  45  42 157
