85 Peg            171 00021+2706  17175 Bu 733       3 *
                  518 00063+5826     61 StF 3062     3
                 1242 00155-1608)       Hei 299      4 *
                 1674 00210+6740    283 h 1018       4 *
                 2237 00284-2020        B 1909       1 *
                 2552 00325+6714        MCy1 Aa      4 *
13 Cet           2762 00352-0336    490 Ho 212       1 *
                 2941 00373-2446    520 Bu 395       3
{upsilon} Phe    5300 01078-4149        Rst 3352     4
                 5842 01157-6852        I 27 CD      3
                 6486 01233+5808   1105 StF 115      4 *
                 6564 01243-0655   1123 Bu 1163      4 *
                 7372 01350-2954        Daw 31 AB    1 *
                 7580 01376-0924        Kui 7        1 *
                 7918 01418+4237        MCy2         4 *
48 Cas           9480 02020+7054   1598 Bu 513       3
                10403 02140+4729   1709 StF 228      4
21 Ari          10535 02157+2503        Cou 79       4 *
                10542 02158-1814        Hst 1        4 *
                11452 02278+0426   1865 A 2329       3
{iota} Cas      11569 02292+6725   1860 CHARA 6 Aa   4 *
{epsilon} Cet   12390 02396-1152        Fin 312      1 *
                12717 02434-6643        Fin 333      4 *
{alpha} For     14879 03121-2859   2402 h 3555       4 *
                14913 03124-4425        Jc 8 AB      4 *
                15799 03236-4005        I 468        4 *
                16602 03337+5752)       CHARA 117    4 *
                16628 03339-3105        B 52         4
                17954 03503+2535   2799 Stt 65       4
46 Tau          19719 04136+0743   3064 A 1938       1 *
                19758 04142-4608        Rst 2338     4 *
51 Tau          20087 04184+2135        McA 14       1 *
55 Tau          20215 04199+1631   3135 Stt 79       4 *
                20347 04215-2544   3159 Bu 744       4 *
70 Tau          20661 04256+1557        Fin 342      4 *
                20686 04259+1852   3210 Bu 1185      4 *
{theta}^1^ Tau  20885 04286+1554        McA 15       4 *
                20916 04290+1610   3248 Hu 1080      4 *
                21280 04340+1510        CHARA 17     4 *
{alpha} Dor     21281 04340-5503        B 2092       4
53 Eri          21594 04382-1418        Kui 18       4 *
                21698 04395-4507        I 1489       4
                22505 04506+1505        CHARA 20     4 *
                22550 04512+1104   3475 Bu 883       1 *
                22607 04518+1339   3483 Bu 552       4 *
                23166 04590-1622   3588 Bu 314       4
                23395 05017+2640   3608 A 1844       4 *
                23452 05025-2115        Don 91       4 *
104 Tau         23835 05075+1839   3701 A 3010       0 *
                25119 05226+0236   3959 A 2641       4
                26926 05429-0648   4299 A 494        4
                28442 06003-3103        Hu 1399 AB   4 *
{mu} Ori        28614 06024+0939   4617 A 2715       4 *
1 Gem           28734 06041+2316        Kui 23       4 *
                29234 06098-2246        Rst 3442     4 *
                30920 06294-0249        Ross 614     4 *
                30953 06298-5014        R 65 AB      0 *
                30953 06298-5014        HdO 195 CD   4 *
                31509 06359-3605        Fin 19       4
                33142 06541+6052        Hei 334      4 *
                33449 06573+5825   5586 Stt 159      4 *
                33451 06573-3530        I 65         1 *
                34860 07128+2713   5871 StF 1037     4
                35296 07175-4659        I 7          0 *
                36238 07277+2127        McA 30       1 *
                38052 07480+6018   6354 Hu 1247      1 *
9 Pup           38382 07518-1354   6420 Bu 101       4 *
                38474 07528-0526        Fin 325      4 *
{zeta} Cnc      40167 08123+1738   6650 StF 1196 AB  3 *
                40239 08131-1355   6664 Hu 115       4 *
                41261 08251-4910        Rst 321      4
                41426 08270-5242        B 1606       4
                41820 08316+3458   6851 Hu 716       4
                42075 08345-3236        Fin 335      4 *
                42430 08391-2240   6914 Bu 208       3
                42455 08394-3636        I 314        4
                42748 08427+0933        St 8         0 *
{epsilon} Hya   43109 08468+0625   6993 Sp 1 AB      4 *
                43671 08538-4731        Fin 316      4 *
10 UMa          44248 09007+4147        Kui 37       1 *
81 Cnc          45170 09123+1459        Fin 347      1 *
                45571 09173-6841        Fin 363      4 *
                45617 09179+2834   7284 StF 3121     3
                46404 09278-0604        B 2530       4 *
{omega} Leo     46454 09285+0903   7390 StF 1356     4 *
{psi} Vel       46651 09307-4028                     3
                46706 09313-1329        Kui 41       4
                47479 09407-5759        B 780        1 *
                49868 10110+7508        Kui 47       0 *
{beta} LMi      51233 10279+3642   7780 Hu 879       4 *
                51885 10361-2641   7846 Bu 411       4
p Vel           51986 10373-4814        See 119      4 *
55 Leo          53423 10557+0044   7982 Bu 1076      4 *
                53840 11009-4030        Fin 365      0 *
{alpha} UMa     54061 11037+6145   8035 Bu 1077      3 *
                54155 11047-0413   8048 A 676 BC     4 *
{chi} Hya       54204 11053-2718        Fin 47       4
{xi} UMa        55203 11182+3132   8119 StF 1523 AB  3 *
55 UMa          55266 11191+3811)       CHARA 133    4 *
{pi} Cen        55425 11210-5429        I 879        4 *
{iota} Leo      55642 11239+1032   8148 StF 1536     4
                56290 11323+6105   8197 Stt 235      3
                57994 11537+7345   8337 Bu 794       4
89 Cen          58799 12036-3901        See 143      4
                59780 12155-3106        Rst 1658     4
                59816 12160+0538   8486 StF 1621     4 *
{eta} Vir       60129 12199-0040        McA 37       1 *
                60994 12301-1324   8573 Bu 28        4
{gamma} Cen     61932 12415-4858        h 4539       4
{gamma} Vir     61941 12417-0127   8630 StF 1670     3
78 UMa          63503 13007+5622   8739 Bu 1082      3
{alpha} Com     64241 13100+1732   8804 StF 1728     3 *
                65026 13198+4747   8862 Hu 644       3 *
                65343 13235+2914   8887 Ho 260       0 *
                66438 13372-6142        I 365        4
25 CVn          66458 13375+3617   8974 StF 1768     4 *
                66640 13395+1045   8987 Bu 612       4
                67422 13491+2659   9031 StF 1785     3
                70327 14234+0827   9247 Bu 1111 BC   4 *
                70973 14310-0548        Rst 4529     4 *
{alpha} Cen     71683 14396-6050                     3 *
                71914 14426+1930        Hu 575       4
17 Lib          72217 14462-2110        Fin 309      4
                72479 14492+1013   9397 A 2983       4 *
{xi} Boo        72659 14513+1906   9413 StF 1888     3
                73182 14574-2124   9446 GJ 570 Bb    4 *
44 Boo          73695 15038+4739   9494 StF 1909     3 *
                74537 15138-0121   9544 A 691        0 *
                74893 15183+2650   9578 StF 1932     4
{eta} CrB       75312 15233+3018   9617 StF 1937     3
{mu} Boo        75411 15245+3722        CHARA 181 Aa 3 *
{mu} Boo        75415 15245+3722   9626 StF 1938 BC  3
                75529 15258+8430        Mlr 347      0 *
{beta} CrB      75695 15278+2906                     1 *
                76382 15360+3949   9716 Stt 298      3
                76466 15370+6426   9730 Hu 1168      4
{iota} Ser      76852 15416+1940   9744 Hu 580       4 *
{gamma} CrB     76952 15427+2618   9757 StF 1967     4 *
{iota} Nor      78662 16035-5747        See 258 AB   4 *
{xi} Sco        78727 16044-1123   9909 StF 1998 AB  4 *
                80199 16224-3220        Jsp 691      0 *
                80460 16254+3724        CHARA 55     0 *
                80725 16289+1825  10075 StF 2052     3
{zeta} Her      81693 16413+3136  10157 StF 2084     3 *
                82817 16555-0820        Kui 75       1 *
c Her           83838 17080+3556  10360 Hu 1176      4 *
{eta} Oph       84012 17104-1544  10374 Bu 1118      4 *
                84123 17119-0151        LPM 629      4 *
