Triton  1427.6±1.9  [43]    1353.4±0.9  [44]    2.059±0.005 13.54   [46]    0.719   [46]
Nereid  2.06        170.±25.    [47]    1.5 19.2R   [48]    0.155   [47]
Naiad   0.013       33.±3.  [48]    1.3 23.91   [48]    0.072   [48]
Thalassa    0.025       41.±3.  [48]    1.3 23.32   [48]    0.091   [48]
Despina 0.14        75.±3.  [48]    1.3 22.00   [48]    0.090   [48]
Galatea 0.25        88.±4.  [48]    1.3 21.85   [48]    0.079   [48]
Larissa 0.33        97.±3.  [48]    1.3 21.49   [48]    0.091   [48]
Proteus 3.36        210.±7. [48]    1.3 19.75   [48]    0.096   [48]
Halimede    0.012       31.0    [49]    1.5 24.5R   [49]    0.04    [49]
Psamathe    0.0033      20.0    [49]    1.5 25.5R   [49]    0.04    [49]
Sao 0.0045      22.0    [49]    1.5 25.5R   [49]    0.04    [49]
Laomedeia   0.0039      21.0    [49]    1.5 25.5R   [49]    0.04    [49]
Neso    0.011       30.0    [49]    1.5 24.6R   [49]    0.04    [49]
S/2004 N1   0.0003      9.0 [62]    1.3 26.5V   [62]    0.10    [62]
